,0,1,2,3
0,99.0,157.0,117.0,175.0
1,39.0,50.0,57.0,68.0
2,57.0,259.0,75.0,277.0
3,22.0,266.0,40.0,284.0
4,78.0,319.0,96.0,337.0
5,134.0,234.0,152.0,252.0
6,0.0,370.0,18.0,388.0
7,86.0,377.0,104.0,395.0
8,80.0,93.0,98.0,111.0
9,86.0,301.0,104.0,319.0
10,37.0,186.0,55.0,204.0
11,120.0,304.0,138.0,322.0
12,198.0,349.0,216.0,367.0
13,39.0,10.0,57.0,28.0
14,235.0,278.0,253.0,296.0
15,82.0,241.0,100.0,259.0
16,149.0,242.0,167.0,260.0
17,78.0,166.0,96.0,184.0
18,98.0,14.0,116.0,32.0
19,58.0,287.0,76.0,305.0
20,122.0,148.0,140.0,166.0
21,47.0,60.0,65.0,78.0
22,48.0,211.0,66.0,229.0
23,98.0,322.0,116.0,340.0
24,25.0,370.0,43.0,388.0
25,26.0,339.0,44.0,357.0
26,37.0,34.0,55.0,52.0
27,39.0,131.0,57.0,149.0
28,28.0,97.0,46.0,115.0
